Date,Open,High,Low,Close,Adj Close,Volume
2018-09-13,5200.000000,5275.000000,5150.000000,5275.000000,4948.909180,142600
2018-09-14,5250.000000,5850.000000,5225.000000,5700.000000,5347.636230,264000
2018-09-17,5700.000000,5800.000000,5350.000000,5500.000000,5160.000000,97700
2018-09-18,5500.000000,5500.000000,5350.000000,5375.000000,5042.727051,54800
2018-09-19,5400.000000,5650.000000,5350.000000,5400.000000,5066.181641,152500
2018-09-20,5500.000000,5600.000000,5325.000000,5350.000000,5019.272949,119800
2018-09-21,5350.000000,5500.000000,5325.000000,5400.000000,5066.181641,115000
2018-09-24,5375.000000,5500.000000,5300.000000,5325.000000,4995.818359,32400
2018-09-25,5275.000000,5350.000000,5175.000000,5275.000000,4948.909180,106400
2018-09-26,5200.000000,5200.000000,5000.000000,5000.000000,4690.909180,253700
2018-09-27,5000.000000,5150.000000,5000.000000,5000.000000,4690.909180,122100
2018-09-28,5000.000000,5400.000000,4900.000000,5400.000000,5066.181641,425200
2018-10-01,5400.000000,5400.000000,5100.000000,5150.000000,4831.636230,207900
2018-10-02,5175.000000,5250.000000,5050.000000,5050.000000,4737.818359,88700
2018-10-03,5000.000000,5100.000000,4990.000000,4990.000000,4681.527344,102700
2018-10-04,4990.000000,4990.000000,4900.000000,4900.000000,4597.090820,92900
2018-10-05,4800.000000,5000.000000,4680.000000,5000.000000,4690.909180,90900
2018-10-08,4900.000000,4930.000000,4700.000000,4840.000000,4540.799805,169100
2018-10-09,4830.000000,5175.000000,4830.000000,5050.000000,4737.818359,196100
2018-10-10,5050.000000,5175.000000,4960.000000,5000.000000,4690.909180,211200
2018-10-11,4900.000000,5000.000000,4740.000000,4830.000000,4531.417969,177500
2018-10-12,4830.000000,4830.000000,4720.000000,4730.000000,4437.600098,60300
2018-10-15,4730.000000,4830.000000,4550.000000,4700.000000,4409.454590,121000
2018-10-16,4650.000000,4700.000000,4550.000000,4550.000000,4268.727051,75500
2018-10-17,4590.000000,4670.000000,4530.000000,4590.000000,4306.254395,81800
2018-10-18,4520.000000,4710.000000,4500.000000,4510.000000,4231.200195,139100
2018-10-19,4500.000000,4580.000000,4480.000000,4540.000000,4259.345215,116500
2018-10-22,4550.000000,4560.000000,4510.000000,4530.000000,4249.963867,73400
2018-10-23,4530.000000,4550.000000,4500.000000,4500.000000,4221.818359,103200
2018-10-24,4550.000000,4570.000000,4410.000000,4410.000000,4137.381836,102200
2018-10-25,4380.000000,4380.000000,4010.000000,4260.000000,3996.654541,256100
2018-10-26,4260.000000,4390.000000,4160.000000,4260.000000,3996.654541,113200
2018-10-29,4250.000000,4250.000000,4010.000000,4200.000000,3940.363525,76200
2018-10-30,4180.000000,4200.000000,4010.000000,4200.000000,3940.363525,85900
2018-10-31,4260.000000,4260.000000,4100.000000,4150.000000,3893.454590,76500
2018-11-01,4200.000000,4210.000000,4060.000000,4150.000000,3893.454590,64200
2018-11-02,4050.000000,4150.000000,4030.000000,4030.000000,3780.872803,63700
2018-11-05,4030.000000,4030.000000,3900.000000,3970.000000,3724.581787,94900
2018-11-06,3970.000000,3970.000000,3670.000000,3800.000000,3565.090820,350100
2018-11-07,3850.000000,3900.000000,3800.000000,3830.000000,3593.236328,58100
2018-11-08,3850.000000,4230.000000,3830.000000,4170.000000,3912.218262,239300
2018-11-09,4170.000000,4320.000000,4130.000000,4230.000000,3968.509033,89600
